3                   2                   
PerThrow            PerFinish           Odds                Diff                
10                  100                 0.5                 3                   
Expected            Avg.Throw           
0                   12                  8.8                 
1                   35.2                7.48                
2                   31.52               7.948               
3                   23.152              8.7948              
4                   26.3152             8.47948             
5                   28.6315             8.24795             
6                   36.8632             7.42479             
7                   13.6863             9.74248             
8                   35.3686             7.57425             
9                   5.53686             10.5574             
10                  -31.4463            14.2557             
11                  16.8554             9.42557             
12                  29.6855             8.14256             
13                  58.9686             5.21426             
14                  45.8969             6.52143             
15                  52.5897             5.85214             
16                  5.25897             10.5852             
17                  16.5259             9.45852             
18                  25.6526             8.54585             
19                  8.56526             10.2546             
20                  6.85653             10.4255             
21                  4.68565             10.6425             
22                  6.46857             10.4643             
23                  -11.3531            12.2464             
24                  14.8647             9.62464             
25                  9.48647             10.1625             
26                  36.9486             7.41625             
27                  -36.3051            14.7416             
28                  10.3695             10.0742             
29                  -18.9631            13.0074             
30                  -1.89631            11.3007             
31                  -28.1896            13.9301             
32                  21.181              8.99301             
33                  48.1181             6.2993              
34                  -15.1882            12.6299             
35                  8.48118             10.263              
36                  0.848117            11.0263             
37                  12.0848             9.90263             
38                  3.20848             10.7903             
39                  4.32085             10.679              
40                  16.4321             9.4679              
41                  21.6432             8.94679             
42                  34.1643             7.69468             
43                  33.4164             7.76947             
44                  21.3416             8.97695             
45                  -23.8658            13.4977             
46                  39.6134             7.14977             
47                  21.9613             8.91498             
48                  -7.80387            11.8915             
49                  -4.78039            11.5891             
50                  29.522              8.15891             
51                  30.9522             8.01589             
52                  37.0952             7.40159             
53                  -6.29048            11.7402             
54                  15.371              9.57402             
55                  5.5371              10.5574             
56                  -19.4463            13.0557             
57                  -3.94463            11.5056             
58                  33.6055             7.75056             
59                  29.3606             8.17506             
60                  -37.0639            14.8175             
61                  6.2936              10.4818             
62                  -25.3706            13.6482             
63                  25.4629             8.56482             
64                  40.5463             7.05648             
65                  38.0546             7.30565             
66                  41.8055             6.93056             
67                  24.1805             8.69306             
68                  24.4181             8.66931             
69                  34.4418             7.66693             
70                  -2.55582            11.3667             
71                  31.7444             7.93667             
72                  7.17444             10.3937             
73                  26.7174             8.43937             
74                  8.67174             10.2439             
75                  22.8672             8.82439             
76                  14.2867             9.68244             
77                  11.4287             9.96824             
78                  25.1429             8.59682             
79                  -13.4857            12.4597             
80                  0.651428            11.046              
81                  -9.93486            12.1046             
82                  -6.99349            11.8105             
83                  11.3007             9.98105             
84                  5.13007             10.5981             
85                  30.513              8.05981             
86                  -2.9487             11.406              
87                  15.7051             9.5406              
88                  29.5705             8.15406             
89                  22.9571             8.81541             
90                  -35.7043            14.6815             
91                  16.4296             9.46815             
92                  13.643              9.74682             
93                  11.3643             9.97468             
94                  43.1364             6.79747             
95                  -15.6864            12.6797             
96                  -5.56864            11.668              
97                  1.44314             10.9668             
98                  22.1443             8.89668             
99                  24.2144             8.68967             
