3                   3                   
Odds                Diff                Steps               
0.5                 3                   10                  
PerThrow            PerFinish           Expected            
10                  200                 109.979             
20                  200                 20.6443             
30                  200                 -70.508             
40                  200                 -158.801            
50                  200                 -248.73             
60                  200                 -341.03             
70                  200                 -429.255            
80                  200                 -519.907            
90                  200                 -612.622            
100                 200                 -699.102            


10                  190                 100.254             
20                  190                 10.0574             
30                  190                 -79.7803            
40                  190                 -169.268            
50                  190                 -259.577            
60                  190                 -349.677            
70                  190                 -442.655            
80                  190                 -529.248            
90                  190                 -617.735            
100                 190                 -707.651            


10                  180                 90.0459             
20                  180                 0.5909              
30                  180                 -89.1084            
40                  180                 -180.615            
50                  180                 -268.255            
60                  180                 -359.224            
70                  180                 -447.894            
80                  180                 -539.31             
90                  180                 -627.894            
100                 180                 -718.03             


10                  170                 79.818              
20                  170                 -10.6452            
30                  170                 -99.7781            
40                  170                 -190.486            
50                  170                 -279.911            
60                  170                 -368.29             
70                  170                 -458.8              
80                  170                 -552.695            
90                  170                 -640.427            
100                 170                 -727.754            


10                  160                 70.0083             
20                  160                 -20.8913            
30                  160                 -109.815            
40                  160                 -199.633            
50                  160                 -291.211            
60                  160                 -382.527            
70                  160                 -469.939            
80                  160                 -557.721            
90                  160                 -646.035            
100                 160                 -739.05             


10                  150                 60.139              
20                  150                 -29.6806            
30                  150                 -118.933            
40                  150                 -209.268            
50                  150                 -300.372            
60                  150                 -390.726            
70                  150                 -481.601            
80                  150                 -566.801            
90                  150                 -661.941            
100                 150                 -751.446            


10                  140                 49.8257             
20                  140                 -40.7195            
30                  140                 -128.966            
40                  140                 -220.662            
50                  140                 -308.682            
60                  140                 -399.415            
70                  140                 -492.11             
80                  140                 -579.461            
90                  140                 -669.929            
100                 140                 -760.835            


10                  130                 39.8048             
20                  130                 -50.3084            
30                  130                 -140.381            
40                  130                 -231.443            
50                  130                 -320.952            
60                  130                 -408.945            
70                  130                 -499.781            
80                  130                 -592.429            
90                  130                 -680.319            
100                 130                 -769.665            


10                  120                 30.0341             
20                  120                 -60.3293            
30                  120                 -149.855            
40                  120                 -240.461            
50                  120                 -330.637            
60                  120                 -421.503            
70                  120                 -510.913            
80                  120                 -600.122            
90                  120                 -690.56             
100                 120                 -780.67             


10                  110                 19.8838             
20                  110                 -70.6846            
30                  110                 -160.363            
40                  110                 -250.781            
50                  110                 -339.891            
60                  110                 -431.648            
70                  110                 -523.717            
80                  110                 -609.678            
90                  110                 -696.571            
100                 110                 -793.04             


10                  100                 9.88587             
20                  100                 -79.1543            
30                  100                 -170.048            
40                  100                 -258.785            
50                  100                 -349.275            
60                  100                 -439.797            
70                  100                 -531.454            
80                  100                 -617.375            
90                  100                 -707.948            
100                 100                 -797.489            


10                  90                  -0.174375           
20                  90                  -90.0816            
30                  90                  -181.423            
40                  90                  -271.163            
50                  90                  -360.096            
60                  90                  -451.568            
70                  90                  -542.236            
80                  90                  -630.424            
90                  90                  -717.983            
100                 90                  -810.521            


10                  80                  -9.8679             
20                  80                  -101.271            
30                  80                  -188.517            
40                  80                  -280.15             
50                  80                  -369.919            
60                  80                  -459.105            
70                  80                  -550.575            
80                  80                  -641.63             
90                  80                  -728.044            
100                 80                  -820.563            


10                  70                  -19.9216            
20                  70                  -109.31             
30                  70                  -201.217            
40                  70                  -288.877            
50                  70                  -379.316            
60                  70                  -469.882            
70                  70                  -557.678            
80                  70                  -648.328            
90                  70                  -740.043            
100                 70                  -834.105            


10                  60                  -30.0073            
20                  60                  -119.938            
30                  60                  -209.963            
40                  60                  -298.697            
50                  60                  -389.208            
60                  60                  -480.042            
70                  60                  -568.43             
80                  60                  -663.238            
90                  60                  -750.875            
100                 60                  -839.516            


10                  50                  -39.8066            
20                  50                  -129.61             
30                  50                  -219.869            
40                  50                  -307.893            
50                  50                  -400.724            
60                  50                  -488.037            
70                  50                  -578.605            
80                  50                  -673.089            
90                  50                  -761.507            
100                 50                  -854.031            


10                  40                  -50.4659            
20                  40                  -140.164            
30                  40                  -231.05             
40                  40                  -318.802            
50                  40                  -410.75             
60                  40                  -500.867            
70                  40                  -590.434            
80                  40                  -681.16             
90                  40                  -767.391            
100                 40                  -858.552            


10                  30                  -60.128             
20                  30                  -149.793            
30                  30                  -239.266            
40                  30                  -329.885            
50                  30                  -421.247            
60                  30                  -509.597            
70                  30                  -602.578            
80                  30                  -688.648            
90                  30                  -780.714            
100                 30                  -874.822            


10                  20                  -69.7125            
20                  20                  -160.454            
30                  20                  -250.509            
40                  20                  -339.96             
50                  20                  -430.449            
60                  20                  -517.638            
70                  20                  -609.621            
80                  20                  -699.33             
90                  20                  -788.236            
100                 20                  -877.828            


10                  10                  -79.8654            
20                  10                  -169.982            
30                  10                  -260.401            
40                  10                  -349.36             
50                  10                  -437.904            
60                  10                  -531.175            
70                  10                  -618.877            
80                  10                  -706.487            
90                  10                  -800.002            
