3                   4                   
PerThrow            PerFinish           Step                
10                  100                 8                   
Iter                Odds                Diff                Expected            Avg.Throw           
0                   0.1                 2                   75.6114             2.43886             
1                   0.2                 3                   51.5828             4.84172             
2                   0.2                 4                   33.7918             6.62082             
3                   0.2                 5                   16.7058             8.32942             
4                   0.2                 6                   0.1794              9.98206             
5                   0.2                 7                   -16.6636            11.6664             
6                   0.2                 8                   -33.3098            13.331              
7                   0.2                 9                   -49.8798            14.988              
8                   0.2                 10                  -66.5018            16.6502             
9                   0.2                 11                  -83.1474            18.3147             
10                  0.2                 12                  -100.035            20.0035             
1                   0.3                 3                   35.9192             6.40808             
2                   0.3                 4                   6.27                9.373               
3                   0.3                 5                   -21.7312            12.1731             
4                   0.3                 6                   -48.4594            14.8459             
5                   0.3                 7                   -74.1166            17.4117             
6                   0.3                 8                   -100.055            20.0055             
7                   0.3                 9                   -124.68             22.468              
8                   0.3                 10                  -150.449            25.0449             
9                   0.3                 11                  -175.093            27.5093             
10                  0.3                 12                  -199.597            29.9597             
1                   0.4                 3                   18.542              8.1458              
2                   0.4                 4                   -34.1614            13.4161             
3                   0.4                 5                   -92.143             19.2143             
4                   0.4                 6                   -151.67             25.167              
5                   0.4                 7                   -211.106            31.1106             
6                   0.4                 8                   -269.403            36.9403             
7                   0.4                 9                   -326.203            42.6203             
8                   0.4                 10                  -382.609            48.2609             
9                   0.4                 11                  -435.987            53.5988             
10                  0.4                 12                  -490.373            59.0373             
1                   0.5                 3                   10.1718             8.98282             
2                   0.5                 4                   -59.9252            15.9925             
3                   0.5                 5                   -150.282            25.0282             
4                   0.5                 6                   -260.355            36.0355             
5                   0.5                 7                   -389.037            48.9034             
6                   0.5                 8                   -538.926            63.8926             
7                   0.5                 9                   -705.944            80.5937             
8                   0.5                 10                  -898.032            99.8022             
9                   0.5                 11                  -1110.3             121.03              
10                  0.5                 12                  -1338.68            143.868             
1                   0.6                 3                   18.9864             8.10136             
2                   0.6                 4                   -33.9598            13.396              
3                   0.6                 5                   -91.884             19.1884             
4                   0.6                 6                   -151.212            25.1212             
5                   0.6                 7                   -210.99             31.099              
6                   0.6                 8                   -270.543            37.0543             
7                   0.6                 9                   -326.411            42.6411             
8                   0.6                 10                  -382.301            48.2301             
9                   0.6                 11                  -436.681            53.6688             
10                  0.6                 12                  -489.099            58.9099             
1                   0.7                 3                   35.984              6.4016              
2                   0.7                 4                   6.6426              9.33574             
3                   0.7                 5                   -21.9818            12.1982             
4                   0.7                 6                   -47.9012            14.7901             
5                   0.7                 7                   -74.5242            17.4524             
6                   0.7                 8                   -99.7448            19.9745             
7                   0.7                 9                   -124.369            22.4369             
8                   0.7                 10                  -150.187            25.0187             
9                   0.7                 11                  -175.16             27.516              
10                  0.7                 12                  -200.222            30.0222             
1                   0.8                 3                   51.391              4.8609              
2                   0.8                 4                   34.015              6.5985              
3                   0.8                 5                   16.865              8.3135              
4                   0.8                 6                   0.0712              9.99288             
5                   0.8                 7                   -16.5378            11.6538             
6                   0.8                 8                   -33.2436            13.3244             
7                   0.8                 9                   -50.1842            15.0184             
8                   0.8                 10                  -66.8004            16.68               
9                   0.8                 11                  -83.3692            18.3369             
10                  0.8                 12                  -99.927             19.9927             
1                   0.9                 3                   62.6434             3.73566             
2                   0.9                 4                   50.046              4.9954              
3                   0.9                 5                   37.4374             6.25626             
4                   0.9                 6                   24.9254             7.50746             
5                   0.9                 7                   12.4966             8.75034             
6                   0.9                 8                   -0.103              10.0103             
7                   0.9                 9                   -12.4954            11.2495             
8                   0.9                 10                  -25.0432            12.5043             
9                   0.9                 11                  -37.5056            13.7506             
